timestamp,session_number,user_range,duration_seconds,total_requests,successful_requests,failed_requests,success_rate_percent,avg_latency_ms,throughput_req_per_sec,test_start_time,test_end_time
2025-10-24 21:16:17,3,10-1000,30,328,328,0,100.00,150,10.93,2025-10-24 21:15:47,2025-10-24 21:16:17
2025-10-24 21:16:52,4,10-1000,30,321,321,0,100.00,150,10.70,2025-10-24 21:16:22,2025-10-24 21:16:52
2025-10-24 21:17:22,1,10-1000,90,989,989,0,100.00,150,10.99,2025-10-24 21:15:52,2025-10-24 21:17:22
2025-10-24 21:17:27,5,10-1000,30,330,330,0,100.00,150,11.00,2025-10-24 21:16:57,2025-10-24 21:17:27
2025-10-24 21:18:02,6,10-1000,30,327,327,0,100.00,150,10.90,2025-10-24 21:17:32,2025-10-24 21:18:02
2025-10-24 21:18:37,7,10-1000,30,330,330,0,100.00,150,11.00,2025-10-24 21:18:07,2025-10-24 21:18:37
2025-10-24 21:18:57,2,10-1000,90,1008,1008,0,100.00,150,11.20,2025-10-24 21:17:27,2025-10-24 21:18:57
2025-10-24 21:19:12,8,10-1000,30,342,342,0,100.00,150,11.40,2025-10-24 21:18:42,2025-10-24 21:19:12
2025-10-24 21:19:47,9,10-1000,30,325,325,0,100.00,150,10.83,2025-10-24 21:19:17,2025-10-24 21:19:47
2025-10-24 21:20:22,10,10-1000,30,322,322,0,100.00,150,10.73,2025-10-24 21:19:52,2025-10-24 21:20:22
