timestamp,session_number,user_range,duration_seconds,total_requests,successful_requests,failed_requests,success_rate_percent,avg_latency_ms,throughput_req_per_sec,test_start_time,test_end_time
2025-10-24 21:38:45,4,10-1000,90,1046,947,99,90.54,150,11.62,2025-10-24 21:37:15,2025-10-24 21:38:45
2025-10-24 21:38:56,1,10-1000,30,324,324,0,100.00,150,10.80,2025-10-24 21:38:26,2025-10-24 21:38:56
2025-10-24 21:39:31,2,10-1000,30,269,269,0,100.00,150,8.97,2025-10-24 21:39:01,2025-10-24 21:39:31
2025-10-24 21:40:06,3,10-1000,30,279,279,0,100.00,150,9.30,2025-10-24 21:39:36,2025-10-24 21:40:06
2025-10-24 21:40:20,5,10-1000,90,870,870,0,100.00,150,9.67,2025-10-24 21:38:50,2025-10-24 21:40:20
2025-10-24 21:40:41,4,10-1000,30,314,314,0,100.00,150,10.47,2025-10-24 21:40:11,2025-10-24 21:40:41
2025-10-24 21:41:16,5,10-1000,30,296,296,0,100.00,150,9.87,2025-10-24 21:40:46,2025-10-24 21:41:16
2025-10-24 21:41:51,6,10-1000,30,311,311,0,100.00,150,10.37,2025-10-24 21:41:21,2025-10-24 21:41:51
2025-10-24 21:41:55,6,10-1000,90,940,940,0,100.00,150,10.44,2025-10-24 21:40:25,2025-10-24 21:41:55
2025-10-24 21:42:26,7,10-1000,30,326,326,0,100.00,150,10.87,2025-10-24 21:41:56,2025-10-24 21:42:26
2025-10-24 21:43:01,8,10-1000,30,309,309,0,100.00,150,10.30,2025-10-24 21:42:31,2025-10-24 21:43:01
2025-10-24 21:43:30,7,10-1000,90,941,941,0,100.00,150,10.46,2025-10-24 21:42:00,2025-10-24 21:43:30
2025-10-24 21:43:36,9,10-1000,30,294,294,0,100.00,150,9.80,2025-10-24 21:43:06,2025-10-24 21:43:36
2025-10-24 21:44:11,10,10-1000,30,304,304,0,100.00,150,10.13,2025-10-24 21:43:41,2025-10-24 21:44:11
