timestamp,session_number,user_range,duration_seconds,total_requests,successful_requests,failed_requests,success_rate_percent,avg_latency_ms,throughput_req_per_sec,test_start_time,test_end_time
2025-10-24 21:27:01,7,10-1000,30,316,290,26,91.77,150,10.53,2025-10-24 21:26:31,2025-10-24 21:27:01
2025-10-24 21:27:04,1,10-1000,30,313,313,0,100.00,150,10.43,2025-10-24 21:26:34,2025-10-24 21:27:04
2025-10-24 21:27:36,8,10-1000,30,315,315,0,100.00,150,10.50,2025-10-24 21:27:06,2025-10-24 21:27:36
2025-10-24 21:27:39,2,10-1000,30,319,319,0,100.00,150,10.63,2025-10-24 21:27:09,2025-10-24 21:27:39
2025-10-24 21:28:11,9,10-1000,30,316,316,0,100.00,150,10.53,2025-10-24 21:27:41,2025-10-24 21:28:11
2025-10-24 21:28:14,3,10-1000,30,319,319,0,100.00,150,10.63,2025-10-24 21:27:44,2025-10-24 21:28:14
2025-10-24 21:28:46,10,10-1000,30,320,320,0,100.00,150,10.67,2025-10-24 21:28:16,2025-10-24 21:28:46
2025-10-24 21:28:49,4,10-1000,30,322,322,0,100.00,150,10.73,2025-10-24 21:28:19,2025-10-24 21:28:49
2025-10-24 21:29:24,5,10-1000,30,327,327,0,100.00,150,10.90,2025-10-24 21:28:54,2025-10-24 21:29:24
2025-10-24 21:29:59,6,10-1000,30,338,338,0,100.00,150,11.27,2025-10-24 21:29:29,2025-10-24 21:29:59
2025-10-24 21:30:34,7,10-1000,30,324,324,0,100.00,150,10.80,2025-10-24 21:30:04,2025-10-24 21:30:34
2025-10-24 21:31:09,8,10-1000,30,330,330,0,100.00,150,11.00,2025-10-24 21:30:39,2025-10-24 21:31:09
2025-10-24 21:31:44,9,10-1000,30,335,335,0,100.00,150,11.17,2025-10-24 21:31:14,2025-10-24 21:31:44
2025-10-24 21:32:19,10,10-1000,30,334,334,0,100.00,150,11.13,2025-10-24 21:31:49,2025-10-24 21:32:19
