timestamp,session_number,user_range,duration_seconds,total_requests,successful_requests,failed_requests,success_rate_percent,avg_latency_ms,throughput_req_per_sec,test_start_time,test_end_time
2025-10-24 21:04:00,1,10-1000,30,317,317,0,100.00,150,10.57,2025-10-24 21:03:30,2025-10-24 21:04:00
2025-10-24 21:04:30,2,10-1000,30,318,318,0,100.00,150,10.60,2025-10-24 21:04:00,2025-10-24 21:04:30
2025-10-24 21:05:00,3,10-1000,30,325,325,0,100.00,150,10.83,2025-10-24 21:04:30,2025-10-24 21:05:00
2025-10-24 21:05:30,4,10-1000,30,328,328,0,100.00,150,10.93,2025-10-24 21:05:00,2025-10-24 21:05:30
2025-10-24 21:06:00,5,10-1000,30,327,327,0,100.00,150,10.90,2025-10-24 21:05:30,2025-10-24 21:06:00
2025-10-24 21:06:30,6,10-1000,30,326,326,0,100.00,150,10.87,2025-10-24 21:06:00,2025-10-24 21:06:30
2025-10-24 21:07:00,7,10-1000,30,326,326,0,100.00,150,10.87,2025-10-24 21:06:30,2025-10-24 21:07:00
2025-10-24 21:07:30,8,10-1000,30,322,322,0,100.00,150,10.73,2025-10-24 21:07:00,2025-10-24 21:07:30
2025-10-24 21:08:00,9,10-1000,30,330,330,0,100.00,150,11.00,2025-10-24 21:07:30,2025-10-24 21:08:00
2025-10-24 21:08:30,10,10-1000,30,332,332,0,100.00,150,11.07,2025-10-24 21:08:00,2025-10-24 21:08:30
