timestamp,session_number,user_range,duration_seconds,total_requests,successful_requests,failed_requests,success_rate_percent,avg_latency_ms,throughput_req_per_sec,test_start_time,test_end_time
2025-10-24 20:41:41,1,10-1000,30,399,175,224,43.86,150,13.30,2025-10-24 20:41:11,2025-10-24 20:41:41
2025-10-24 20:42:11,2,10-1000,30,412,185,227,44.90,150,13.73,2025-10-24 20:41:41,2025-10-24 20:42:11
2025-10-24 20:42:41,3,10-1000,30,428,170,258,39.72,150,14.27,2025-10-24 20:42:11,2025-10-24 20:42:41
2025-10-24 20:43:11,4,10-1000,30,420,166,254,39.52,150,14.00,2025-10-24 20:42:41,2025-10-24 20:43:11
2025-10-24 20:43:41,5,10-1000,30,435,153,282,35.17,150,14.50,2025-10-24 20:43:11,2025-10-24 20:43:41
2025-10-24 20:44:11,6,10-1000,30,434,169,265,38.94,150,14.47,2025-10-24 20:43:41,2025-10-24 20:44:11
2025-10-24 20:44:41,7,10-1000,30,438,167,271,38.13,150,14.60,2025-10-24 20:44:11,2025-10-24 20:44:41
2025-10-24 20:45:11,8,10-1000,30,385,148,237,38.44,150,12.83,2025-10-24 20:44:41,2025-10-24 20:45:11
2025-10-24 20:45:41,9,10-1000,30,435,156,279,35.86,150,14.50,2025-10-24 20:45:11,2025-10-24 20:45:41
2025-10-24 20:46:11,10,10-1000,30,434,167,267,38.48,150,14.47,2025-10-24 20:45:41,2025-10-24 20:46:11
