timestamp,session_number,user_range,duration_seconds,total_requests,successful_requests,failed_requests,success_rate_percent,avg_latency_ms,throughput_req_per_sec,test_start_time,test_end_time
2025-10-24 21:23:23,5,10-1000,30,314,314,0,100.00,150,10.47,2025-10-24 21:22:53,2025-10-24 21:23:23
2025-10-24 21:23:31,1,10-1000,30,319,319,0,100.00,150,10.63,2025-10-24 21:23:01,2025-10-24 21:23:31
2025-10-24 21:23:58,6,10-1000,30,327,327,0,100.00,150,10.90,2025-10-24 21:23:28,2025-10-24 21:23:58
2025-10-24 21:24:06,2,10-1000,30,330,330,0,100.00,150,11.00,2025-10-24 21:23:36,2025-10-24 21:24:06
2025-10-24 21:24:33,7,10-1000,30,325,325,0,100.00,150,10.83,2025-10-24 21:24:03,2025-10-24 21:24:33
2025-10-24 21:24:41,3,10-1000,30,331,331,0,100.00,150,11.03,2025-10-24 21:24:11,2025-10-24 21:24:41
2025-10-24 21:25:08,8,10-1000,30,328,328,0,100.00,150,10.93,2025-10-24 21:24:38,2025-10-24 21:25:08
2025-10-24 21:25:16,4,10-1000,30,330,330,0,100.00,150,11.00,2025-10-24 21:24:46,2025-10-24 21:25:16
2025-10-24 21:25:43,9,10-1000,30,330,330,0,100.00,150,11.00,2025-10-24 21:25:13,2025-10-24 21:25:43
2025-10-24 21:25:51,5,10-1000,30,335,335,0,100.00,150,11.17,2025-10-24 21:25:21,2025-10-24 21:25:51
2025-10-24 21:26:18,10,10-1000,30,329,329,0,100.00,150,10.97,2025-10-24 21:25:48,2025-10-24 21:26:18
