timestamp,session_number,user_range,duration_seconds,total_requests,successful_requests,failed_requests,success_rate_percent,avg_latency_ms,throughput_req_per_sec,test_start_time,test_end_time
2025-10-24 21:09:11,1,10-1000,30,320,320,0,100.00,150,10.67,2025-10-24 21:08:41,2025-10-24 21:09:11
2025-10-24 21:09:46,2,10-1000,30,324,324,0,100.00,150,10.80,2025-10-24 21:09:16,2025-10-24 21:09:46
2025-10-24 21:10:21,3,10-1000,30,331,331,0,100.00,150,11.03,2025-10-24 21:09:51,2025-10-24 21:10:21
2025-10-24 21:10:29,1,10-1000,90,997,997,0,100.00,150,11.08,2025-10-24 21:08:59,2025-10-24 21:10:29
2025-10-24 21:10:56,4,10-1000,30,344,344,0,100.00,150,11.47,2025-10-24 21:10:26,2025-10-24 21:10:56
2025-10-24 21:11:31,5,10-1000,30,334,334,0,100.00,150,11.13,2025-10-24 21:11:01,2025-10-24 21:11:31
2025-10-24 21:12:04,2,10-1000,90,1027,1027,0,100.00,150,11.41,2025-10-24 21:10:34,2025-10-24 21:12:04
2025-10-24 21:12:06,6,10-1000,30,340,340,0,100.00,150,11.33,2025-10-24 21:11:36,2025-10-24 21:12:06
2025-10-24 21:12:41,7,10-1000,30,342,342,0,100.00,150,11.40,2025-10-24 21:12:11,2025-10-24 21:12:41
2025-10-24 21:13:16,8,10-1000,30,335,335,0,100.00,150,11.17,2025-10-24 21:12:46,2025-10-24 21:13:16
2025-10-24 21:13:39,3,10-1000,90,1032,1032,0,100.00,150,11.47,2025-10-24 21:12:09,2025-10-24 21:13:39
2025-10-24 21:13:51,9,10-1000,30,347,347,0,100.00,150,11.57,2025-10-24 21:13:21,2025-10-24 21:13:51
2025-10-24 21:14:26,10,10-1000,30,332,332,0,100.00,150,11.07,2025-10-24 21:13:56,2025-10-24 21:14:26
