timestamp,session_number,user_range,duration_seconds,total_requests,successful_requests,failed_requests,success_rate_percent,avg_latency_ms,throughput_req_per_sec,test_start_time,test_end_time
2025-10-24 20:36:30,1,10-1000,30,388,191,197,49.23,150,12.93,2025-10-24 20:36:00,2025-10-24 20:36:30
2025-10-24 20:37:00,2,10-1000,30,404,198,206,49.01,150,13.47,2025-10-24 20:36:30,2025-10-24 20:37:00
2025-10-24 20:37:30,3,10-1000,30,416,193,223,46.39,150,13.87,2025-10-24 20:37:00,2025-10-24 20:37:30
2025-10-24 20:38:00,4,10-1000,30,419,193,226,46.06,150,13.97,2025-10-24 20:37:30,2025-10-24 20:38:00
2025-10-24 20:38:30,5,10-1000,30,417,208,209,49.88,150,13.90,2025-10-24 20:38:00,2025-10-24 20:38:30
2025-10-24 20:39:00,6,10-1000,30,430,196,234,45.58,150,14.33,2025-10-24 20:38:30,2025-10-24 20:39:00
2025-10-24 20:39:30,7,10-1000,30,428,191,237,44.63,150,14.27,2025-10-24 20:39:00,2025-10-24 20:39:30
2025-10-24 20:40:00,8,10-1000,30,442,178,264,40.27,150,14.73,2025-10-24 20:39:30,2025-10-24 20:40:00
2025-10-24 20:40:30,9,10-1000,30,430,195,235,45.35,150,14.33,2025-10-24 20:40:00,2025-10-24 20:40:30
2025-10-24 20:41:00,10,10-1000,30,425,183,242,43.06,150,14.17,2025-10-24 20:40:30,2025-10-24 20:41:00
