timestamp,session_number,user_range,duration_seconds,total_requests,successful_requests,failed_requests,success_rate_percent,avg_latency_ms,throughput_req_per_sec,test_start_time,test_end_time
2025-10-24 21:44:54,1,10-1000,30,272,272,0,100.00,150,9.07,2025-10-24 21:44:24,2025-10-24 21:44:54
2025-10-24 21:45:05,8,10-1000,90,924,821,103,88.85,150,10.27,2025-10-24 21:43:35,2025-10-24 21:45:05
2025-10-24 21:45:29,2,10-1000,30,298,298,0,100.00,150,9.93,2025-10-24 21:44:59,2025-10-24 21:45:29
2025-10-24 21:46:04,3,10-1000,30,291,291,0,100.00,150,9.70,2025-10-24 21:45:34,2025-10-24 21:46:04
2025-10-24 21:46:39,4,10-1000,30,296,296,0,100.00,150,9.87,2025-10-24 21:46:09,2025-10-24 21:46:39
2025-10-24 21:46:40,9,10-1000,90,901,901,0,100.00,150,10.01,2025-10-24 21:45:10,2025-10-24 21:46:40
2025-10-24 21:47:14,5,10-1000,30,316,316,0,100.00,150,10.53,2025-10-24 21:46:44,2025-10-24 21:47:14
2025-10-24 21:47:49,6,10-1000,30,296,296,0,100.00,150,9.87,2025-10-24 21:47:19,2025-10-24 21:47:49
2025-10-24 21:48:15,10,10-1000,90,935,935,0,100.00,150,10.39,2025-10-24 21:46:45,2025-10-24 21:48:15
2025-10-24 21:48:24,7,10-1000,30,309,309,0,100.00,150,10.30,2025-10-24 21:47:54,2025-10-24 21:48:24
2025-10-24 21:48:59,8,10-1000,30,322,322,0,100.00,150,10.73,2025-10-24 21:48:29,2025-10-24 21:48:59
2025-10-24 21:49:34,9,10-1000,30,329,329,0,100.00,150,10.97,2025-10-24 21:49:04,2025-10-24 21:49:34
2025-10-24 21:50:09,10,10-1000,30,337,337,0,100.00,150,11.23,2025-10-24 21:49:39,2025-10-24 21:50:09
