timestamp,session_number,user_range,duration_seconds,total_requests,successful_requests,failed_requests,success_rate_percent,avg_latency_ms,throughput_req_per_sec,test_start_time,test_end_time
2025-10-24 21:33:00,1,10-1000,30,318,318,0,100.00,150,10.60,2025-10-24 21:32:30,2025-10-24 21:33:00
2025-10-24 21:33:35,2,10-1000,30,323,323,0,100.00,150,10.77,2025-10-24 21:33:05,2025-10-24 21:33:35
2025-10-24 21:34:00,1,10-1000,90,986,986,0,100.00,150,10.96,2025-10-24 21:32:30,2025-10-24 21:34:00
2025-10-24 21:34:10,3,10-1000,30,335,335,0,100.00,150,11.17,2025-10-24 21:33:40,2025-10-24 21:34:10
2025-10-24 21:34:45,4,10-1000,30,325,325,0,100.00,150,10.83,2025-10-24 21:34:15,2025-10-24 21:34:45
2025-10-24 21:35:20,5,10-1000,30,332,332,0,100.00,150,11.07,2025-10-24 21:34:50,2025-10-24 21:35:20
2025-10-24 21:35:35,2,10-1000,90,1009,1009,0,100.00,150,11.21,2025-10-24 21:34:05,2025-10-24 21:35:35
2025-10-24 21:35:55,6,10-1000,30,348,348,0,100.00,150,11.60,2025-10-24 21:35:25,2025-10-24 21:35:55
2025-10-24 21:36:30,7,10-1000,30,328,328,0,100.00,150,10.93,2025-10-24 21:36:00,2025-10-24 21:36:30
2025-10-24 21:37:05,8,10-1000,30,330,330,0,100.00,150,11.00,2025-10-24 21:36:35,2025-10-24 21:37:05
2025-10-24 21:37:10,3,10-1000,90,1008,1008,0,100.00,150,11.20,2025-10-24 21:35:40,2025-10-24 21:37:10
2025-10-24 21:37:40,9,10-1000,30,340,340,0,100.00,150,11.33,2025-10-24 21:37:10,2025-10-24 21:37:40
2025-10-24 21:38:15,10,10-1000,30,333,333,0,100.00,150,11.10,2025-10-24 21:37:45,2025-10-24 21:38:15
