timestamp,session_number,user_range,duration_seconds,total_requests,successful_requests,failed_requests,success_rate_percent,avg_latency_ms,throughput_req_per_sec,test_start_time,test_end_time
2025-10-24 21:00:19,4,10-1000,30,339,339,0,100.00,150,11.30,2025-10-24 20:59:49,2025-10-24 21:00:19
2025-10-24 21:00:49,5,10-1000,30,330,330,0,100.00,150,11.00,2025-10-24 21:00:19,2025-10-24 21:00:49
2025-10-24 21:01:19,6,10-1000,30,335,335,0,100.00,150,11.17,2025-10-24 21:00:49,2025-10-24 21:01:19
2025-10-24 21:01:25,1,10-1000,90,1016,1016,0,100.00,150,11.29,2025-10-24 20:59:55,2025-10-24 21:01:25
2025-10-24 21:01:49,7,10-1000,30,351,351,0,100.00,150,11.70,2025-10-24 21:01:19,2025-10-24 21:01:49
2025-10-24 21:02:19,8,10-1000,30,333,333,0,100.00,150,11.10,2025-10-24 21:01:49,2025-10-24 21:02:19
2025-10-24 21:02:49,9,10-1000,30,340,340,0,100.00,150,11.33,2025-10-24 21:02:19,2025-10-24 21:02:49
2025-10-24 21:02:55,2,10-1000,90,1037,1037,0,100.00,150,11.52,2025-10-24 21:01:25,2025-10-24 21:02:55
2025-10-24 21:03:19,10,10-1000,30,350,350,0,100.00,150,11.67,2025-10-24 21:02:49,2025-10-24 21:03:19
